badboy;Бесчестье;X
EVTNAME60150;Отмена права женщин голосовать;X
EVTDESC60150;С откатом избирательной реформы женщины более не в праве голосовать;X
EVTOPTA60150;Возвращайтесь на кухню, никчемные профурсетки!;X
EVTNAME31102;Исход из Стамбула;X
EVTDESC31102;В связи с потерей приграничных Стамбулу земель, наша столица находится под угрозой. Мы обязаны перенести её в более безопасное место - Анкару;X
EVTOPTA31102;Мы окончательно изгнаны из Европы...;X
OL_REBEL_OCCUPATIONS;Повстанческие осады;X
OL_REBEL_OCCUPATIONS_TOOLTIP;Провинция §Y$PROVINCE$§W оккупируется повстанцами!;X
OL_VIEW_REBEL_OCCUPATIONS;Переключить обзор §Yповстанческих осад§W;X
POP_MIL_CHANGE_REBEL;Население, живущее в провинции §Y$PROV$§W находится под §RRebels§W контролем.\nМы не можем оценить агрессивность в этой провинции.;X
POP_CON_CHANGE_REBEL;Население, живущее в провинции §Y$PROV$§W находится под §RRebels§W контролем.\nМы не можем оценить сознательность в этой провинции.;X
PROJECT_STATE_NAME_DESC;Планируется построить в §Y$PROV$§W.;X
